Rattings,Review
4,"Canon 5D Mark IV Key SpecificationsNew 30.4MP CMOS full-frame sensor with Dual Pixel AFDCI 4K 30/24p video using Motion JPEG + 4K Frame Grab61-point AF system with 41 cross-type sensors (center point sensitive to -3 EV)Dual Pixel AF (sensitive to -4EV) for continuous Servo AF in stills (first for a full-frame Canon camera) and videoISO 100-32000 (expandable to 102400)7 fps continuous shootingDual Pixel Raw (image microadjustment, bokeh shift, ghosting reduction)150,000-pixel RGB+IR metering sensor1.62M-dot 3.2"" full-time touchscreenWi-Fi w/ NFC + GPSBuilt-in bulb timer interval timersImproved weather-sealing"
5,Used this 5d mark for 7 days as contract.Used both telescopic and wide angle lens. That worked great.My main purpose was night photography specially the photography of milky way and stars.  The results were awesome.I don't very in detail but I will update soon on this.
5,Feeling pain in right side after buy ... Camera is good miss u kidney. Thank u amazone for this great deal
3,"Camera is really good, but available outside and on other websites for 35000 lesser"
4,rupee deal on this one for prime day
4,It takes no time to focusWorth the price
5,Without knowing please don't give adverse comments
5,Wow! I sold my house to get this but the camera quality is amazing.Now I have no house I keep taking photos(they are awesome) and I sleep in the box that came with it. But I am very happy....
5,Best camera
5,test
5,This Product is good & GPS - WiFi System so Good
1,"Too expensive. i can't buy it, so i hate it,.Thank you."
1,5d mark3 is best for wedding shoot
1,Go for the cheap one you dont want this
1,Fraud alert!This is 10 inches ring not 18 inches!I replaced the product and recieved 10 inches ring again.Do not buy from here.
5,"Bought this 4 months ago and have been using it to mount my phone and shoot and videos.Pros:The adjustable height is greatAvailable length is greatThe holder for mobile also has mobility to tilt the phone for an upward and downward angle (my personal fav)Cons:The only thing I would recommend is to be gentle while turning the screws/knobs as they are a bit fragile and you could easily break them if you handle them too aggressively.Overall, definitely worth the price!"
1,"What is purpose of writing 18"" when light is just 10""."
5,It’s good worthy for money led brightness should have increased little more so it may be used for outdoor also.
4,Product is worth.... i recommend it for beginners ❤ satisfied
4,Product is very good and easy to use . Overall a good deal 👍
5,Product is really good
5,Value for money
5,It is really nice
4,Value for money.
5,Value for money.
